OpinionTerm,Polarity,Count,AvgLength,TopCategory
是真,正面,1,2.0,功效
是真东西,正面,1,4.0,真伪
显得皮肤很白,正面,1,6.0,功效
显肤色,正面,1,3.0,功效
更优惠,正面,1,3.0,价格
更好,正面,1,2.0,整体
更滋润,正面,1,3.0,使用体验
更滑,正面,1,2.0,使用体验
最合适,正面,1,3.0,价格
最喜欢的,正面,1,4.0,整体
最实惠,正面,1,3.0,价格
最实汇的,正面,1,4.0,价格
有一定的,正面,1,4.0,功效
有一点提亮肤色,正面,1,7.0,功效
有优势,正面,1,3.0,价格
有保湿效果,正面,1,5.0,功效
有光泽,正面,1,3.0,功效
有提亮,正面,1,3.0,功效
有提亮的效果,正面,1,6.0,功效
有档次,正面,1,3.0,包装
有泡沫,正面,1,3.0,使用体验
有淡斑效果,正面,1,5.0,功效
有点暗,正面,1,3.0,功效
有点油,正面,1,3.0,使用体验
有点白,正面,1,3.0,功效
有点脱皮,正面,1,4.0,使用体验
有点香,正面,1,3.0,气味
有美白效果,正面,1,5.0,功效
有香味,正面,1,3.0,气味
服贴,正面,1,2.0,使用体验
松的,正面,1,2.0,包装
棒极了,正面,1,3.0,整体
棒棒,正面,1,2.0,整体
正,正面,1,1.0,其他
正合适,正面,1,3.0,功效
正品保证,正面,1,4.0,真伪
比想像的要好,正面,1,6.0,功效
比较丰富,正面,1,4.0,成分
比较信得过,正面,1,5.0,整体
比较合适,正面,1,4.0,整体
比较均匀,正面,1,4.0,功效
比较多,正面,1,3.0,成分
比较好推开,正面,1,5.0,使用体验
比较好携带,正面,1,5.0,包装
比较好涂开,正面,1,5.0,使用体验
比较好看,正面,1,4.0,功效
比较实惠,正面,1,4.0,价格
比较方便,正面,1,4.0,使用体验
比较显白,正面,1,4.0,功效
比较有气色,正面,1,5.0,使用体验
比较水润,正面,1,4.0,使用体验
比较补水,正面,1,4.0,功效
比较贴合,正面,1,4.0,使用体验
比较赞的,正面,1,4.0,整体
比较轻薄,正面,1,4.0,使用体验
气色很好,正面,1,4.0,使用体验
水份多多,正面,1,4.0,使用体验
水份很多,正面,1,4.0,使用体验
水分还可以,正面,1,5.0,使用体验
水嫩,正面,1,2.0,使用体验
水嫩嫩的,正面,1,4.0,使用体验
水嫩的,正面,1,3.0,使用体验
水润皮肤,正面,1,4.0,使用体验
水灵灵,正面,1,3.0,使用体验
没什么过敏,正面,1,5.0,使用体验
没什么问题,正面,1,5.0,功效
没收到,正面,1,3.0,价格
没有,正面,1,2.0,气味
没有什么不良反应,正面,1,8.0,使用体验
没有出现过敏,正面,1,6.0,使用体验
没有刺激感,正面,1,5.0,使用体验
没有干粉,正面,1,4.0,使用体验
没有损坏,正面,1,4.0,包装
没有过敏不适,正面,1,6.0,使用体验
没有过敏反应,正面,1,6.0,使用体验
没有过敏现象,正面,1,6.0,使用体验
没有那么强,正面,1,5.0,功效
没让人失望,正面,1,5.0,整体
没过敏,正面,1,3.0,使用体验
没错,正面,1,2.0,气味
油而不腻,正面,1,4.0,使用体验
泡泡多,正面,1,3.0,使用体验
洗干净,正面,1,3.0,功效
洗得干净,正面,1,4.0,功效
洗的干净,正面,1,4.0,功效
活动价,正面,1,3.0,价格
浮粉,正面,1,2.0,使用体验
涂抹均匀,正面,1,4.0,使用体验
消下去,正面,1,3.0,使用体验
润,正面,1,1.0,使用体验
润泽,正面,1,2.0,使用体验
润色效果,正面,1,4.0,功效
淡淡得,正面,1,3.0,气味
淡淡的清香,正面,1,5.0,气味
清清爽爽的,正面,1,5.0,使用体验
清澈,正面,1,2.0,使用体验
清爽爽的,正面,1,4.0,使用体验
清薄,正面,1,2.0,使用体验
清香型,正面,1,3.0,气味
温和性的,正面,1,4.0,使用体验
温和的,正面,1,3.0,使用体验
湿湿润润的,正面,1,5.0,使用体验
满喜欢的,正面,1,4.0,整体
满好的,正面,1,3.0,功效
满水润的,正面,1,4.0,使用体验
满满,正面,1,2.0,成分
炒鸡划算,正面,1,4.0,价格
炒鸡棒棒,正面,1,4.0,整体
点个赞,正面,1,3.0,物流
爱不释手,正面,1,4.0,整体
爽,正面,1,1.0,整体
特价,正面,1,2.0,价格
特划算,正面,1,3.0,价格
特别便宜,正面,1,4.0,价格
特别好闻,正面,1,4.0,气味
特别干净,正面,1,4.0,功效
特别服帖,正面,1,4.0,使用体验
特别棒,正面,1,3.0,功效
特别水嫩,正面,1,4.0,使用体验
特别水润,正面,1,4.0,使用体验
特别湿润,正面,1,4.0,使用体验
特别满意,正面,1,4.0,整体
特别特别划算,正面,1,6.0,价格
特别特别给力,正面,1,6.0,物流
特别的好用,正面,1,5.0,整体
特别细腻,正面,1,4.0,使用体验
特别舒服,正面,1,4.0,使用体验
特别薄,正面,1,3.0,使用体验
特好,正面,1,2.0,功效
甜美,正面,1,2.0,气味
用着好,正面,1,3.0,整体
用着很好,正面,1,4.0,整体
用着舒服,正面,1,4.0,使用体验
用量少,正面,1,3.0,使用体验
略带香味,正面,1,4.0,气味
白,正面,1,1.0,功效
白了一个度,正面,1,5.0,功效
白嫩,正面,1,2.0,使用体验
白白嫩嫩的,正面,1,5.0,使用体验
白白的,正面,1,3.0,功效
白白透透的,正面,1,5.0,功效
白的很自然,正面,1,5.0,功效
皮肤亮亮的,正面,1,5.0,功效
皮肤亮白,正面,1,4.0,功效
相似,正面,1,2.0,气味
相当实惠,正面,1,4.0,价格
相当的便宜,正面,1,5.0,价格
相当的满意,正面,1,5.0,服务
省钱,正面,1,2.0,价格
看起来不错,正面,1,5.0,整体
真不是盖的,正面,1,5.0,物流
真品,正面,1,2.0,真伪
真品牌,正面,1,3.0,真伪
真喜欢,正面,1,3.0,整体
真好,正面,1,2.0,物流
真实,正面,1,2.0,功效
真心划算,正面,1,4.0,价格
真是快,正面,1,3.0,物流
真是神速,正面,1,4.0,物流
真的优惠,正面,1,4.0,价格
真的可以,正面,1,4.0,功效
真的很快呀,正面,1,5.0,物流
真的很耐斯,正面,1,5.0,整体
真的快,正面,1,3.0,物流
真高,正面,1,2.0,价格
确实很好,正面,1,4.0,整体
确实挺白的,正面,1,5.0,功效
粘稠,正面,1,2.0,使用体验
粘稠些,正面,1,3.0,使用体验
精致,正面,1,2.0,包装
细,正面,1,1.0,使用体验
细滑,正面,1,2.0,使用体验
细致,正面,1,2.0,使用体验
经济又实惠,正面,1,5.0,价格
经济实惠,正面,1,4.0,价格
给个好评,正面,1,4.0,物流
给个赞,正面,1,3.0,整体
给了,正面,1,2.0,物流
给赞,正面,1,2.0,整体
耐心,正面,1,2.0,服务
肤色好好,正面,1,4.0,使用体验
肤色很亮,正面,1,4.0,功效
能修复皮肤,正面,1,5.0,功效
能遮暇,正面,1,3.0,功效
自然白,正面,1,3.0,功效
自然美,正面,1,3.0,功效
舒服,正面,1,2.0,使用体验
良好,正面,1,2.0,整体
薄,正面,1,1.0,使用体验
薄点,正面,1,2.0,使用体验
蛮不错,正面,1,3.0,整体
蛮喜欢的,正面,1,4.0,整体
蛮多,正面,1,2.0,成分
蛮多的,正面,1,3.0,其他
蛮好闻,正面,1,3.0,气味
蛮快的,正面,1,3.0,物流
蛮白的,正面,1,3.0,功效
蛮自然的,正面,1,4.0,功效
蛮补水的,正面,1,4.0,功效
补水多了,正面,1,4.0,功效
补水的,正面,1,3.0,功效
补湿,正面,1,2.0,功效
补补水,正面,1,3.0,功效
要低得多,正面,1,4.0,价格
调节肤色,正面,1,4.0,功效
货真价值,正面,1,4.0,整体
货真价实,正面,1,4.0,整体
质优价廉,正面,1,4.0,价格
贴个面部,正面,1,4.0,使用体验
贴合皮肤,正面,1,4.0,使用体验
贴肤,正面,1,2.0,使用体验
贴装,正面,1,2.0,使用体验
超出预期,正面,1,4.0,整体
超合算,正面,1,3.0,价格
超实惠,正面,1,3.0,价格
超快的,正面,1,3.0,物流
超极好,正面,1,3.0,整体
超水润,正面,1,3.0,使用体验
超清爽的,正面,1,4.0,使用体验
超满意,正面,1,3.0,整体
超神速,正面,1,3.0,物流
超级优惠,正面,1,4.0,价格
超级值得,正面,1,4.0,价格
超级合适,正面,1,4.0,价格
超级多,正面,1,3.0,整体
超级实惠,正面,1,4.0,价格
超级滋润,正面,1,4.0,使用体验
超级满意,正面,1,4.0,整体
超级速度,正面,1,4.0,物流
超足,正面,1,2.0,使用体验
跟强,正面,1,2.0,功效
跟服帖,正面,1,3.0,使用体验
跟舒服,正面,1,3.0,整体
跟补水,正面,1,3.0,功效
较便宜,正面,1,3.0,价格
较温和,正面,1,3.0,使用体验
辛苦了,正面,1,3.0,物流
过得去,正面,1,3.0,整体
过敏了,正面,1,3.0,使用体验
还OK,正面,1,3.0,整体
还不错啦,正面,1,4.0,整体
还保湿,正面,1,3.0,功效
还可以吧,正面,1,4.0,整体
还喜欢,正面,1,3.0,整体
还挺划算的,正面,1,5.0,价格
还挺多的,正面,1,4.0,整体
还挺好,正面,1,3.0,整体
还挺好用的,正面,1,5.0,整体
还挺省,正面,1,3.0,其他
还挺香的,正面,1,4.0,气味
还算可以,正面,1,4.0,功效
还算实惠,正面,1,4.0,价格
还蛮快,正面,1,3.0,物流
还行的,正面,1,3.0,功效
这么快,正面,1,3.0,物流
送货到家,正面,1,4.0,物流
透亮,正面,1,2.0,使用体验
通透,正面,1,2.0,使用体验
遮红血丝,正面,1,4.0,功效
遮黄气暗沉,正面,1,5.0,功效
都说好,正面,1,3.0,整体
量也多,正面,1,3.0,其他
量也大,正面,1,3.0,其他
量又足,正面,1,3.0,其他
量大耐用,正面,1,4.0,其他
量很足,正面,1,3.0,其他
量比大,正面,1,3.0,其他
量足,正面,1,2.0,其他
闻着不错,正面,1,4.0,气味
隔离,正面,1,2.0,功效
非常公道,正面,1,4.0,价格
非常划算,正面,1,4.0,价格
非常好闻,正面,1,4.0,气味
非常实惠,正面,1,4.0,价格
非常开心,正面,1,4.0,整体
非常强,正面,1,3.0,物流
非常彻底,正面,1,4.0,功效
非常服帖,正面,1,4.0,使用体验
非常温和,正面,1,4.0,使用体验
非常的不错,正面,1,5.0,整体
非常的好用,正面,1,5.0,整体
非常的实惠,正面,1,5.0,价格
非常的快,正面,1,4.0,物流
非常的服帖,正面,1,5.0,使用体验
非常的香,正面,1,4.0,气味
非常自然,正面,1,4.0,功效
非常舒适,正面,1,4.0,整体
非常足,正面,1,3.0,成分
非常速度,正面,1,4.0,物流
非常香,正面,1,3.0,气味
靠谱,正面,1,2.0,价格
颜色相近,正面,1,4.0,功效
香,正面,1,1.0,气味
高大上,正面,1,3.0,包装
高很多,正面,1,3.0,价格
高档,正面,1,2.0,包装
不好用,负面,18,3.0,整体
不好,负面,13,2.0,整体
有点干,负面,12,3.0,使用体验
没有,负面,9,2.0,包装
假的,负面,7,2.0,真伪
不是很好用,负面,6,5.0,整体
不喜欢,负面,5,3.0,整体
不是很好,负面,5,4.0,整体
垃圾,负面,5,2.0,整体
很干,负面,5,2.0,使用体验
不太喜欢,负面,4,4.0,气味
不太好,负面,4,3.0,整体
不怎么样,负面,4,4.0,整体
不是很喜欢,负面,4,5.0,气味
不是正品,负面,4,4.0,真伪
卡粉,负面,4,2.0,使用体验
太差了,负面,4,3.0,包装
差评,负面,4,2.0,整体
很少,负面,4,2.0,使用体验
有点小贵,负面,4,4.0,价格
浮粉,负面,4,2.0,使用体验
不适合,负面,3,3.0,功效
假货,负面,3,2.0,真伪
太假了,负面,3,3.0,整体
太小,负面,3,2.0,尺寸
太随便了,负面,3,4.0,包装
好小,负面,3,2.0,尺寸
有点卡粉,负面,3,4.0,使用体验
有点失望,负面,3,4.0,整体
洗不净,负面,3,3.0,使用体验
一般般,负面,2,3.0,功效
不保湿,负面,2,3.0,功效
不吸收,负面,2,3.0,使用体验
不太适合,负面,2,4.0,整体
不好闻,负面,2,3.0,气味
不开心,负面,2,3.0,整体
不服帖,负面,2,3.0,使用体验
不行,负面,2,2.0,包装
不规整,负面,2,3.0,尺寸
刺鼻,负面,2,2.0,气味
卸不干净,负面,2,4.0,功效
太失望了,负面,2,4.0,整体
太干,负面,2,2.0,使用体验
太干了,负面,2,3.0,使用体验
太香了,负面,2,3.0,气味
失望,负面,2,2.0,整体
好少,负面,2,2.0,其他
好差,负面,2,2.0,包装
少,负面,2,1.0,使用体验
差,负面,2,1.0,整体
差一些,负面,2,3.0,功效
很小,负面,2,2.0,尺寸
很旧,负面,2,2.0,包装
怪怪的,负面,2,3.0,气味
敷衍了事,负面,2,4.0,服务
是假货,负面,2,3.0,真伪
最垃圾,负面,2,3.0,整体
最差,负面,2,2.0,整体
有点味道,负面,2,4.0,气味
有点小,负面,2,3.0,尺寸
有点油,负面,2,3.0,使用体验
有点白,负面,2,3.0,功效
极差,负面,2,2.0,服务
没,负面,2,1.0,价格
油,负面,2,1.0,使用体验
滑滑的,负面,2,3.0,使用体验
痒,负面,2,1.0,使用体验
破了,负面,2,2.0,包装
简陋,负面,2,2.0,包装
起皮,负面,2,2.0,使用体验
超级差,负面,2,3.0,使用体验
辣眼睛,负面,2,3.0,使用体验
过敏,负面,2,2.0,使用体验
过敏了,负面,2,3.0,使用体验
长痘,负面,2,2.0,使用体验
降价,负面,2,2.0,价格
一点不好,负面,1,4.0,功效
一点不好用,负面,1,5.0,整体
一点也不好用,负面,1,6.0,其他
一点点,负面,1,3.0,尺寸
一点点红,负面,1,4.0,使用体验
一点都不水润,负面,1,6.0,使用体验
一点都没有,负面,1,5.0,功效
一般,负面,1,2.0,整体
三流,负面,1,2.0,物流
上当了,负面,1,3.0,整体
不一样,负面,1,3.0,气味
不习惯,负面,1,3.0,气味
不值,负面,1,2.0,整体
不合格,负面,1,3.0,服务
不多,负面,1,2.0,整体
不大好,负面,1,3.0,整体
不太好洗掉,负面,1,5.0,使用体验
不太开心,负面,1,4.0,整体
不好上妆,负面,1,4.0,功效
不好涂开,负面,1,4.0,使用体验
不干净,负面,1,3.0,功效
不怎么亮肤,负面,1,5.0,功效
不怎么好用,负面,1,5.0,整体
不怎么白,负面,1,4.0,功效
不怎么补水,负面,1,5.0,功效
不怎么起泡沫,负面,1,6.0,使用体验
不持妆,负面,1,3.0,使用体验
不推荐,负面,1,3.0,整体
不敢恭维,负面,1,4.0,服务
不敢用,负面,1,3.0,整体
不是太好,负面,1,4.0,功效
不是太完美,负面,1,5.0,整体
不是太干净,负面,1,5.0,功效
不是太明显,负面,1,5.0,功效
不是很值,负面,1,4.0,价格
不是很够,负面,1,4.0,功效
不是很好闻,负面,1,5.0,气味
不是很干净,负面,1,5.0,功效
不是很滋润,负面,1,5.0,使用体验
不是很白,负面,1,4.0,功效
不是很足,负面,1,4.0,成分
不是很适合,负面,1,5.0,整体
不是很遮瑕,负面,1,5.0,功效
不是新的,负面,1,4.0,新鲜度
不是特别好,负面,1,5.0,使用体验
不是那么水润,负面,1,6.0,使用体验
不显白,负面,1,3.0,功效
不正,负面,1,2.0,功效
不滋润,负面,1,3.0,功效
不爽,负面,1,2.0,价格
不给力,负面,1,3.0,价格
不能用,负面,1,3.0,整体
不解决,负面,1,3.0,服务
不贴,负面,1,2.0,使用体验
不贴合,负面,1,3.0,使用体验
不足四年,负面,1,4.0,新鲜度
不适应,负面,1,3.0,气味
东西少了,负面,1,4.0,其他
中空的,负面,1,3.0,物流
也不好使,负面,1,4.0,整体
会掉粉,负面,1,3.0,使用体验
会紧绷,负面,1,3.0,使用体验
会紧缩,负面,1,3.0,使用体验
会起脂肪粒,负面,1,5.0,使用体验
偏暗,负面,1,2.0,功效
偏深,负面,1,2.0,包装
偏黄,负面,1,2.0,功效
再便宜点,负面,1,4.0,价格
几乎没有,负面,1,4.0,成分
到期,负面,1,2.0,新鲜度
刺激,负面,1,2.0,使用体验
刺激皮肤,负面,1,4.0,使用体验
刺痒,负面,1,2.0,使用体验
刺痛,负面,1,2.0,使用体验
卡,负面,1,1.0,使用体验
卸不掉,负面,1,3.0,功效
压扁了,负面,1,3.0,包装
发错,负面,1,2.0,物流
可干,负面,1,2.0,使用体验
吸收不是很好,负面,1,6.0,使用体验
坏了,负面,1,2.0,包装
坏的,负面,1,2.0,包装
坑人,负面,1,2.0,整体
够随意,负面,1,3.0,包装
太一般了,负面,1,4.0,整体
太不好,负面,1,3.0,功效
太不靠谱,负面,1,4.0,物流
太不靠谱了,负面,1,5.0,整体
太丑了,负面,1,3.0,包装
太刺鼻,负面,1,3.0,气味
太厚,负面,1,2.0,其他
太坑了,负面,1,3.0,整体
太多了,负面,1,3.0,价格
太大了,负面,1,3.0,气味
太少,负面,1,2.0,成分
太少了,负面,1,3.0,其他
太差,负面,1,2.0,整体
太差劲,负面,1,3.0,服务
太慢,负面,1,2.0,服务
太慢了,负面,1,3.0,物流
太次,负面,1,2.0,包装
太浓,负面,1,2.0,气味
太白,负面,1,2.0,功效
太白了,负面,1,3.0,功效
太短,负面,1,2.0,新鲜度
太简便,负面,1,3.0,包装
太简单了,负面,1,4.0,包装
太简陋,负面,1,3.0,包装
太简陋了,负面,1,4.0,整体
太裸妆了,负面,1,4.0,使用体验
太重,负面,1,2.0,气味
好假,负面,1,2.0,真伪
好刺鼻,负面,1,3.0,气味
好巨大,负面,1,3.0,包装
好干燥,负面,1,3.0,使用体验
好没用,负面,1,3.0,整体
好浓,负面,1,2.0,使用体验
好硬,负面,1,2.0,使用体验
嫌弃,负面,1,2.0,包装
容易油,负面,1,3.0,使用体验
小小,负面,1,2.0,尺寸
少了点,负面,1,3.0,其他
就要过期了,负面,1,5.0,新鲜度
差了很多,负面,1,4.0,整体
差劲,负面,1,2.0,包装
差死了,负面,1,3.0,整体
差的要死,负面,1,4.0,功效
干巴巴,负面,1,3.0,使用体验
干死了,负面,1,3.0,使用体验
干的脱皮,负面,1,4.0,使用体验
应该改进,负面,1,4.0,物流
弱,负面,1,1.0,功效
很一般,负面,1,3.0,使用体验
很不好,负面,1,3.0,整体
很不开森,负面,1,4.0,整体
很垃圾,负面,1,3.0,整体
很容易掉粉,负面,1,5.0,使用体验
很心塞,负面,1,3.0,价格
很忧伤,负面,1,3.0,整体
很明显,负面,1,3.0,气味
很气人,负面,1,3.0,物流
很滑,负面,1,2.0,使用体验
很烂,负面,1,2.0,整体
很硬,负面,1,2.0,使用体验
很稀,负面,1,2.0,其他
很粘,负面,1,2.0,使用体验
很薄,负面,1,2.0,其他
很讨厌,负面,1,3.0,整体
忒简单,负面,1,3.0,包装
快要过期,负面,1,4.0,新鲜度
感觉不高,负面,1,4.0,整体
慢死,负面,1,2.0,物流
投诉,负面,1,2.0,物流
抹不开,负面,1,3.0,使用体验
挺小的,负面,1,3.0,尺寸
挺干燥的,负面,1,4.0,使用体验
挺干的,负面,1,3.0,使用体验
挺油腻,负面,1,3.0,使用体验
挺麻烦的,负面,1,4.0,服务
掉皮,负面,1,2.0,使用体验
掉粉,负面,1,2.0,使用体验
搓泥,负面,1,2.0,使用体验
搓泥了,负面,1,3.0,使用体验
效果不是很明显,负面,1,7.0,整体
是假,负面,1,2.0,功效
是次品,负面,1,3.0,其他
最差的,负面,1,3.0,整体
有一点点痒,负面,1,5.0,使用体验
有些失望,负面,1,4.0,整体
有些干,负面,1,3.0,使用体验
有些油,负面,1,3.0,使用体验
有些粘腻,负面,1,4.0,使用体验
有些黏腻,负面,1,4.0,使用体验
有点假白,负面,1,4.0,功效
有点儿掉妆,负面,1,5.0,使用体验
有点刺鼻,负面,1,4.0,气味
有点发干,负面,1,4.0,使用体验
有点坑,负面,1,3.0,物流
有点多,负面,1,3.0,使用体验
有点大,负面,1,3.0,气味
有点太香,负面,1,4.0,气味
有点少,负面,1,3.0,尺寸
有点慢,负面,1,3.0,使用体验
有点火辣辣的,负面,1,6.0,使用体验
有点点油,负面,1,4.0,使用体验
有点点膳,负面,1,4.0,气味
有点点过敏,负面,1,5.0,使用体验
有点疼,负面,1,3.0,使用体验
有点痒,负面,1,3.0,使用体验
有点硬,负面,1,3.0,使用体验
有点简陋,负面,1,4.0,包装
有点紧绷,负面,1,4.0,使用体验
有点胶味,负面,1,4.0,气味
有点薄,负面,1,3.0,使用体验
有点香,负面,1,3.0,气味
有点麻烦,负面,1,4.0,使用体验
有点黏,负面,1,3.0,使用体验
有点黑,负面,1,3.0,功效
有香味,负面,1,3.0,气味
欺骗,负面,1,2.0,服务
欺骗顾客,负面,1,4.0,整体
正品,负面,1,2.0,真伪
比较厉害,负面,1,4.0,使用体验
比较少,负面,1,3.0,其他
比较干,负面,1,3.0,使用体验
比较慢,负面,1,3.0,物流
比较旧,负面,1,3.0,新鲜度
比较油,负面,1,3.0,使用体验
比较油腻,负面,1,4.0,使用体验
比较浓郁,负面,1,4.0,气味
比较硬,负面,1,3.0,包装
比较费,负面,1,3.0,价格
比较近,负面,1,3.0,新鲜度
比较重,负面,1,3.0,气味
水漏了,负面,1,3.0,包装
没什么,负面,1,3.0,使用体验
没以前好用,负面,1,5.0,整体
没心情了,负面,1,4.0,包装
没感觉到,负面,1,4.0,功效
没有人理会,负面,1,5.0,服务
没有介绍的那么遮盖红血丝,负面,1,12.0,功效
没有便宜很多,负面,1,6.0,价格
没有免邮券,负面,1,5.0,价格
没有多少,负面,1,4.0,成分
没有太大感觉,负面,1,6.0,功效
没有密封口,负面,1,5.0,包装
没有感觉,负面,1,4.0,功效
没有说的那么保湿,负面,1,8.0,功效
没有那么润,负面,1,5.0,使用体验
没洗干净,负面,1,4.0,使用体验
没用,负面,1,2.0,整体
没那么好用,负面,1,5.0,整体
油亮亮的,负面,1,4.0,使用体验
油亮油亮,负面,1,4.0,使用体验
油腻腻的,负面,1,4.0,使用体验
泛白,负面,1,2.0,使用体验
洗不干净,负面,1,4.0,功效
浓浓的,负面,1,3.0,气味
浪费钱,负面,1,3.0,整体
浮了,负面,1,2.0,使用体验
渣货,负面,1,2.0,整体
漏了,负面,1,2.0,包装
漏水,负面,1,2.0,包装
烂东西,负面,1,3.0,整体
特别不愉快,负面,1,5.0,服务
特别少,负面,1,3.0,其他
特别油油,负面,1,4.0,使用体验
特别的干,负面,1,4.0,使用体验
白的不自然,负面,1,5.0,功效
真心不好用,负面,1,5.0,整体
真没看出来,负面,1,5.0,功效
真的很一般,负面,1,5.0,整体
真的忙,负面,1,3.0,服务
碎了,负面,1,2.0,物流
稍微偏硬,负面,1,4.0,使用体验
稍微干燥,负面,1,4.0,使用体验
稍微暗一点,负面,1,5.0,功效
稍微有点提亮,负面,1,6.0,功效
稍微过敏,负面,1,4.0,使用体验
粗糙,负面,1,2.0,包装
红肿,负面,1,2.0,使用体验
老搓泥,负面,1,3.0,使用体验
被骗了,负面,1,3.0,整体
贵,负面,1,1.0,价格
贵了,负面,1,2.0,价格
起痘,负面,1,2.0,使用体验
超级难用,负面,1,4.0,整体
越来越高了,负面,1,5.0,价格
较难清洗,负面,1,4.0,使用体验
辣脸,负面,1,2.0,使用体验
过于多了,负面,1,4.0,使用体验
过期,负面,1,2.0,新鲜度
近期,负面,1,2.0,新鲜度
还是干,负面,1,3.0,使用体验
还是紧绷,负面,1,4.0,使用体验
连连的,负面,1,3.0,使用体验
遮不住什么,负面,1,5.0,功效
那么白,负面,1,3.0,功效
都是胶,负面,1,3.0,使用体验
都没有,负面,1,3.0,包装
酸酸的,负面,1,3.0,气味
重,负面,1,1.0,气味
闷痘,负面,1,2.0,使用体验
难推开,负面,1,3.0,使用体验
难用,负面,1,2.0,整体
非常失望,负面,1,4.0,整体
非常差,负面,1,3.0,整体
非常的不好,负面,1,5.0,整体
骗人的,负面,1,3.0,整体
黏黏的,负面,1,3.0,使用体验
黏黏糊糊,负面,1,4.0,使用体验
